Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,Name
5,OTU5,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,X52169.1.1473,g_Prochlorococcus
3,OTU3,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,KC003383.1.1321,g_Prochlorococcus
39,OTU39,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,DQ009141.1.1996,f_SAR86 clade
19,OTU19,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020549891.3846.5359,f_SAR86 clade
2,OTU2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,AACY024102418.157.1623,g_AEGEAN-169 marine group
159,OTU159,Bacteria,Chloroflexi,SAR202 clade,,,,AACY020068177.376.1853,c_SAR202 clade
28,OTU28,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,DQ009125.1.1942,f_SAR86 clade
31,OTU31,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020481938.3418.4929,f_SAR86 clade
7,OTU7,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EU802925.1.1450,o_SAR324 clade(Marine group B)
53,OTU53,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella,JQ347414.1.1492,g_Marinicella
12,OTU12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EF572471.1.1459,g_AEGEAN-169 marine group
41,OTU41,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,AY664087.1.1207,g_Prochlorococcus
38,OTU38,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,AACY020125842.54.1493,f_Marine Group II
138,OTU138,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,,DQ156479.1.1258,f_Marine Group III
4,OTU4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EU394547.1.1451,g_AEGEAN-169 marine group
9,OTU9,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,GU940990.1.1405,g_Prochlorococcus
17,OTU17,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020564593.3718.5259,f_SAR406 clade(Marine group A)
549,OTU549,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ337094.1.1520,f_SAR406 clade(Marine group A)
830,OTU830,Bacteria,Proteobacteria,Deltaproteobacteria,Sh765B-TzT-29,,,EF646119.1.1485,o_Sh765B-TzT-29
6,OTU6,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802966.1.1361,g_Prochlorococcus
186,OTU186,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,FN433412.1.1496,g_NS4 marine group
32,OTU32,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802623.1.1438,o_SAR11 clade
8,OTU8,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AY664224.1.1233,f_Surface 1
54,OTU54,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802563.1.1450,f_Surface 1
662,OTU662,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,FN433426.1.1497,g_NS5 marine group
24,OTU24,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,EU800764.1.1362,g_Candidatus Pelagibacter
18,OTU18,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AJXC01019507.1.1272,f_Surface 1
323,OTU323,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,DQ071172.1.1397,f_Surface 1
13,OTU13,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,AM747321.1.1243,o_SAR11 clade
21,OTU21,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,KC001820.1.1315,f_Surface 1
268,OTU268,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU799440.1.1451,f_SAR116 clade
22,OTU22,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,EU801991.1.1263,g_Candidatus Pelagibacter
60,OTU60,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU237344.1.1311,g_Prochlorococcus
59,OTU59,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS2b marine group,FQ032828.26868.28381,g_NS2b marine group
11,OTU11,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FJ745117.1.1319,f_Surface 1
20,OTU20,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EF572127.1.1520,f_SAR86 clade
16,OTU16,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,GQ348500.1.1314,g_Candidatus Pelagibacter
29,OTU29,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,DQ299286.1.1392,f_Marine Group II
65,OTU65,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802420.1.1442,g_Prochlorococcus
197,OTU197,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AY664083.1.1206,f_Surface 1
335,OTU335,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,EF573025.1.1502,g_NS4 marine group
10,OTU10,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940771.1.1349,f_Surface 1
27,OTU27,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802362.1.1310,o_SAR11 clade
1001,OTU1001,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,FQ032830.13921.15433,g_Marinoscillum
136,OTU136,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,DQ009159.1.1986,f_SAR406 clade(Marine group A)
23,OTU23,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802280.1.1361,g_Prochlorococcus
70,OTU70,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AY664234.1.1252,f_Surface 1
202,OTU202,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664105.1.1226,g_Synechococcus
30,OTU30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,AACY020487638.121.1594,g_AEGEAN-169 marine group
14,OTU14,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802283.1.1251,f_Surface 1
40,OTU40,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940743.1.1341,f_Surface 1
42,OTU42,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802641.1.1377,g_Prochlorococcus
34,OTU34,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,KC001946.1.1313,f_Surface 1
61,OTU61,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JN547444.1.1442,g_Prochlorococcus
49,OTU49,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EF572791.1.1441,o_SAR11 clade
130,OTU130,Bacteria,Chloroflexi,SAR202 clade,,,,AY907820.1.1458,c_SAR202 clade
139,OTU139,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802498.1.1435,g_Prochlorococcus
35,OTU35,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802424.1.1247,o_SAR11 clade
84,OTU84,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664135.1.1215,g_Synechococcus
224,OTU224,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,HQ673137.1.1450,f_Surface 4
45,OTU45,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ163443.1.1344,f_Surface 1
80,OTU80,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802541.1.1287,g_Prochlorococcus
67,OTU67,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JX945367.1.1372,g_Prochlorococcus
134,OTU134,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,DQ009277.1.1996,f_Surface 4
47,OTU47,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800727.1.1251,f_Surface 1
73,OTU73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU802548.1.1445,g_uncultured
209,OTU209,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,FJ745198.1.1365,f_OCS155 marine group
63,OTU63,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EF571939.1.1526,f_SAR406 clade(Marine group A)
100,OTU100,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sufflavibacter,EU802798.1.1422,g_Sufflavibacter
125,OTU125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU803186.1.1437,g_uncultured
50,OTU50,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU803117.1.1251,o_SAR11 clade
150,OTU150,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,EF571926.1.1454,f_Surface 4
44,OTU44,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ216327.1.1233,f_Surface 1
64,OTU64,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GQ349089.1.1337,f_Surface 1
195,OTU195,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,EF574264.1.1492,g_Oceanobacter
976,OTU976,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,AACY020548802.136.1646,g_NS5 marine group
51,OTU51,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FJ745080.1.1326,f_Surface 1
94,OTU94,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EU805091.1.1526,f_SAR406 clade(Marine group A)
293,OTU293,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,JX945345.1.1443,o_SAR11 clade
233,OTU233,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EF574663.1.1445,f_SAR116 clade
43,OTU43,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,JX945349.1.1357,o_SAR11 clade
55,OTU55,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940846.1.1513,f_Surface 1
97,OTU97,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800517.1.1373,f_Surface 1
221,OTU221,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ242373.1.1521,f_SAR406 clade(Marine group A)
115,OTU115,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802636.1.1362,f_Surface 1
79,OTU79,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FJ744916.1.1319,f_Surface 1
76,OTU76,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ163158.1.1317,f_Surface 1
114,OTU114,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,GU235302.1.1328,f_Surface 2
