2242,OTU2242,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,,AACY020016122.205.1491,f_Puniceicoccaceae,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;uncultured;
159,OTU159,Bacteria,Chloroflexi,SAR202 clade,,,,AACY020068177.376.1853,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
210,OTU210,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,JTB255 marine benthic group,,AACY020075636.150.1670,f_JTB255 marine benthic group,Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
968,OTU968,Bacteria,Cyanobacteria,Chloroplast,,,,AACY020080403.492.1950,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
38,OTU38,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,AACY020125842.54.1493,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
1125,OTU1125,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,AACY020187844.576.1995,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
128,OTU128,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020207233.1273.2814,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1423,OTU1423,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Deep Sea Hydrothermal Vent Gp 6(DHVEG-6),,AACY020254990.1.1246,f_Deep Sea Hydrothermal Vent Gp 6(DHVEG-6),Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;
235,OTU235,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020255495.903.2404,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
1073,OTU1073,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Owenweeksia,AACY020259437.2024.3522,g_Owenweeksia,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;
559,OTU559,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,AACY020276549.377.1886,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
676,OTU676,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,AACY020288370.770.2267,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
4701,OTU4701,Bacteria,Candidate division OD1,,,,,AACY020292957.227.1544,p_Candidate division OD1,Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria;
973,OTU973,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,AACY020324837.147.1652,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
810,OTU810,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,AACY020329935.165.1672,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
261,OTU261,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella,AACY020371335.89.1595,g_Marinicella,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;uncultured;
705,OTU705,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020393406.361.1862,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
56,OTU56,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,AACY020396101.1882.3388,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
220,OTU220,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020398456.2130.3630,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
660,OTU660,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,AACY020403290.735.2190,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
684,OTU684,Bacteria,Proteobacteria,AEGEAN-245,,,,AACY020430088.197.1720,c_AEGEAN-245,Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;
218,OTU218,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,AACY020431964.3244.4753,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
1098,OTU1098,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS2b marine group,AACY020458788.943.2444,g_NS2b marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;
31,OTU31,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020481938.3418.4929,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
30,OTU30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,AACY020487638.121.1594,g_AEGEAN-169 marine group,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN-169 marine group;
259,OTU259,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,AACY020490277.719.2228,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
710,OTU710,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020518560.687.2227,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
3265,OTU3265,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Cohaesibacter,AACY020536637.961.2423,g_Cohaesibacter,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Cohaesibacter;
899,OTU899,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Fluviicola,AACY020544257.531.2038,g_Fluviicola,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;
242,OTU242,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020545456.443.1983,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
976,OTU976,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,AACY020548802.136.1646,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
19,OTU19,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020549891.3846.5359,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
406,OTU406,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,AACY020551516.3485.4953,f_Surface 4,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade IV;
580,OTU580,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020553637.768.2309,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
847,OTU847,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020553861.2031.3562,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
105,OTU105,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,AACY020555729.127.1634,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
226,OTU226,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,,AACY020555764.489.1966,o_OCS116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;OCS116 clade;
185,OTU185,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,AACY020555882.2572.4023,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
480,OTU480,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,AACY020556376.977.2486,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
26,OTU26,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020562322.3851.5364,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
254,OTU254,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020563509.792.2305,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
279,OTU279,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020564058.27.1569,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
17,OTU17,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020564593.3718.5259,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
37,OTU37,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group,AACY020565564.130.1652,g_ZD0417 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;
