Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,Name
7,OTU7,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EU802925.1.1450,o_SAR324 clade(Marine group B)
41,OTU41,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,AY664087.1.1207,g_Prochlorococcus
9,OTU9,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,GU940990.1.1405,g_Prochlorococcus
6,OTU6,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802966.1.1361,g_Prochlorococcus
32,OTU32,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802623.1.1438,o_SAR11 clade
8,OTU8,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AY664224.1.1233,f_Surface 1
54,OTU54,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802563.1.1450,f_Surface 1
24,OTU24,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,EU800764.1.1362,g_Candidatus Pelagibacter
18,OTU18,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AJXC01019507.1.1272,f_Surface 1
13,OTU13,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,AM747321.1.1243,o_SAR11 clade
22,OTU22,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,EU801991.1.1263,g_Candidatus Pelagibacter
60,OTU60,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU237344.1.1311,g_Prochlorococcus
11,OTU11,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FJ745117.1.1319,f_Surface 1
16,OTU16,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,GQ348500.1.1314,g_Candidatus Pelagibacter
197,OTU197,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AY664083.1.1206,f_Surface 1
10,OTU10,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940771.1.1349,f_Surface 1
27,OTU27,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802362.1.1310,o_SAR11 clade
23,OTU23,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802280.1.1361,g_Prochlorococcus
70,OTU70,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AY664234.1.1252,f_Surface 1
202,OTU202,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664105.1.1226,g_Synechococcus
14,OTU14,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802283.1.1251,f_Surface 1
40,OTU40,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940743.1.1341,f_Surface 1
42,OTU42,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802641.1.1377,g_Prochlorococcus
34,OTU34,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,KC001946.1.1313,f_Surface 1
49,OTU49,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EF572791.1.1441,o_SAR11 clade
139,OTU139,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802498.1.1435,g_Prochlorococcus
35,OTU35,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802424.1.1247,o_SAR11 clade
84,OTU84,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664135.1.1215,g_Synechococcus
224,OTU224,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,HQ673137.1.1450,f_Surface 4
80,OTU80,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802541.1.1287,g_Prochlorococcus
67,OTU67,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JX945367.1.1372,g_Prochlorococcus
134,OTU134,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,DQ009277.1.1996,f_Surface 4
47,OTU47,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800727.1.1251,f_Surface 1
73,OTU73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU802548.1.1445,g_uncultured
100,OTU100,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sufflavibacter,EU802798.1.1422,g_Sufflavibacter
125,OTU125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU803186.1.1437,g_uncultured
50,OTU50,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU803117.1.1251,o_SAR11 clade
44,OTU44,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ216327.1.1233,f_Surface 1
293,OTU293,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,JX945345.1.1443,o_SAR11 clade
233,OTU233,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EF574663.1.1445,f_SAR116 clade
